Country	Region	Continent	GDP_per_capita	Social_support	Healthy_life_exp	Freedom_life_choices	Generosity	Perceptions_of_corruption	Residuals
Finland	Western_Europe	Europe	10.63926697	0.954329729	71.9008255	0.949172199	-0.059482019	0.195444584	2.762835026
Denmark	Western_Europe	Europe	10.77400112	0.955990791	72.40250397	0.951444268	0.066201776	0.168489456	2.432740688
Switzerland	Western_Europe	Europe	10.97993279	0.942846596	74.10244751	0.921336651	0.105911039	0.303728431	2.35026741
Iceland	Western_Europe	Europe	10.77255917	0.974669576	73	0.948891878	0.246944219	0.711709738	2.460688114
Norway	Western_Europe	Europe	11.08780384	0.952486575	73.20078278	0.955750287	0.13453263	0.263218194	2.168266296
Netherlands	Western_Europe	Europe	10.81271172	0.93913883	72.30091858	0.908547819	0.20761244	0.364717126	2.352117062
Sweden	Western_Europe	Europe	10.75879383	0.926311195	72.60076904	0.939144194	0.111614622	0.250880182	2.246299267
New_Zealand	North_America_and_ANZ	North_America	10.50094318	0.949118972	73.20262909	0.936217487	0.191598073	0.22113885	2.128108025
Austria	Western_Europe	Europe	10.7428236	0.928045869	73.00250244	0.899989486	0.085429221	0.499954879	2.398446083
Luxembourg	Western_Europe	Europe	11.45068073	0.906912208	72.59999847	0.90563643	-0.004620588	0.367084295	2.153700352
Canada	North_America_and_ANZ	North_America	10.69236851	0.927176654	73.60160065	0.933913231	0.124770768	0.390843362	2.195269108
Australia	North_America_and_ANZ	North_America	10.72059631	0.944854617	73.60453796	0.915431738	0.19046016	0.41516912	2.129804134
United_Kingdom	Western_Europe	Europe	10.60013485	0.93668282	72.30160522	0.834743679	0.263732493	0.435915917	2.236721992
Israel	Middle_East_and_North_Africa	Africa	10.41752529	0.913571239	73.20025635	0.747580588	0.10259372	0.78085506	2.713358402
Costa_Rica	Latin_America_and_Caribbean	Latin_America	9.658156395	0.901545942	71.29985046	0.934738934	-0.10242971	0.786332428	2.953135014
Ireland	Western_Europe	Europe	11.16097832	0.942081571	72.30078888	0.886982977	0.145784974	0.357184172	1.943878174
Germany	Western_Europe	Europe	10.7328186	0.898874462	72.20201874	0.867371082	0.080179386	0.456422031	2.295249462
United_States	North_America_and_ANZ	North_America	10.92576885	0.914219022	68.29949951	0.842619538	0.149891734	0.699715316	2.344124794
Czech_Republic	Central_and_Eastern_Europe	Europe	10.40416336	0.914430678	70.04793549	0.818537354	-0.230861515	0.85844624	2.796808243
Belgium	Western_Europe	Europe	10.6736393	0.911632538	72.00164795	0.813582063	-0.078691199	0.612297952	2.348626614
United_Arab_Emirates	Middle_East_and_North_Africa	Africa	11.1099987	0.849181116	67.08278656	0.941345513	0.123450845	0.594502211	2.166965961
Malta	Western_Europe	Europe	10.53383827	0.93037951	72.19999695	0.924911439	0.214965805	0.658547282	1.952012062
France	Western_Europe	Europe	10.58422279	0.937103748	73.80193329	0.825467646	-0.130641967	0.583521128	2.053198338
Mexico	Latin_America_and_Caribbean	Latin_America	9.797797203	0.838665426	68.29902649	0.858709276	-0.175266623	0.806821585	2.662540197
Taiwan_Province_of_China	East_Asia	Asia	10.77568531	0.894309103	69.59999847	0.77153033	-0.073198698	0.73188293	2.160238743
Uruguay	Latin_America_and_Caribbean	Latin_America	9.948192596	0.92281127	69.00254822	0.892395437	-0.101103112	0.635994136	2.167276382
Saudi_Arabia	Middle_East_and_North_Africa	Africa	10.79781246	0.874067068	66.30514526	0.854191244	-0.168695062	0.682619512	2.203118801
Spain	Western_Europe	Europe	10.46292686	0.921125412	74.40270996	0.751989543	-0.050961714	0.765859902	1.997088432
Guatemala	Latin_America_and_Caribbean	Latin_America	8.924805641	0.816621482	64.8089447	0.908147573	-0.042938665	0.783237457	2.882723093
Italy	Western_Europe	Europe	10.48183632	0.889878571	73.60168457	0.66465199	-0.043460999	0.873404682	2.249505997
Singapore	Southeast_Asia	Asia	11.39552116	0.910268962	76.80458069	0.926645339	0.029879224	0.109784193	0.937031746
Brazil	Latin_America_and_Caribbean	Latin_America	9.56643486	0.896723807	66.48016357	0.799804807	-0.101812392	0.770601273	2.571860313
Slovenia	Central_and_Eastern_Europe	Europe	10.39232254	0.939575672	71.1029892	0.936142623	-0.080603383	0.817071021	1.888586521
El_Salvador	Latin_America_and_Caribbean	Latin_America	8.909075737	0.806092262	66.10826111	0.833805263	-0.121072978	0.754319906	2.937191725
Kosovo	Central_and_Eastern_Europe	Europe	9.204429626	0.820726514	63.88555527	0.861535907	0.190933764	0.922328293	2.736902714
Panama	Latin_America_and_Caribbean	Latin_America	10.03423405	0.902094483	69.60301208	0.880366504	-0.153927714	0.851588905	2.221176147
Slovakia	Central_and_Eastern_Europe	Europe	10.34774971	0.922493756	68.90634155	0.749952674	-0.124409303	0.918096125	2.256422043
Uzbekistan	Commonwealth_of_Independent_States	Commonwealth	8.740371704	0.926595807	65.10757446	0.974998116	0.248427153	0.501497388	2.073346615
Chile	Latin_America_and_Caribbean	Latin_America	10.0320549	0.879713595	69.90061951	0.744896293	-0.065668367	0.838239431	2.283012867
Bahrain	Middle_East_and_North_Africa	Africa	10.67638016	0.876342118	68.5	0.905855775	0.13372919	0.7393471	1.751917362
Lithuania	Central_and_Eastern_Europe	Europe	10.34362602	0.926107109	67.29407501	0.747381449	-0.219725296	0.809583843	2.238146067
Trinidad_and_Tobago	Latin_America_and_Caribbean	Latin_America	10.26000214	0.91529417	63.5	0.857907116	0.000526841	0.912230611	2.190695763
Poland	Central_and_Eastern_Europe	Europe	10.26512432	0.874257445	69.31113434	0.862055779	-0.205084071	0.686927021	2.056797981
Colombia	Latin_America_and_Caribbean	Latin_America	9.500369072	0.884440243	67.69958496	0.836179912	-0.161235645	0.86457181	2.421656609
Cyprus	Western_Europe	Europe	10.40570259	0.805996239	73.70222473	0.779858291	0.043731496	0.856271744	2.032334805
Nicaragua	Latin_America_and_Caribbean	Latin_America	8.493160248	0.857497036	67.50717926	0.863902867	0.020959141	0.665950119	2.496081114
Romania	Central_and_Eastern_Europe	Europe	10.107584	0.825161517	67.20723724	0.842823207	-0.19781521	0.934300244	2.412749767
Kuwait	Middle_East_and_North_Africa	Africa	11.08982468	0.846475244	66.76764679	0.872366488	-0.100184701	0.760849059	1.840167999
Mauritius	Sub-Saharan_Africa	Africa	9.956786156	0.910357833	66.40434265	0.889534533	-0.018318573	0.805343091	2.006720543
Kazakhstan	Commonwealth_of_Independent_States	Commonwealth	10.11465836	0.934744895	64.60996246	0.811601937	-0.068488635	0.764490843	2.021602631
Estonia	Central_and_Eastern_Europe	Europe	10.34001732	0.934729993	68.60495758	0.87770915	-0.111697771	0.623073816	1.629928112
Philippines	Southeast_Asia	Asia	8.993545532	0.846730053	61.92676163	0.915463448	-0.105463006	0.733634114	2.501741886
Hungary	Central_and_Eastern_Europe	Europe	10.24924374	0.921934128	67.60997009	0.718964577	-0.194323018	0.892916501	2.121845722
Thailand	Southeast_Asia	Asia	9.741791725	0.889973223	67.25059509	0.905063033	0.268685192	0.886272311	1.832384109
Argentina	Latin_America_and_Caribbean	Latin_America	9.810955048	0.900567949	68.80380249	0.831132412	-0.194913864	0.842009842	2.072540998
Honduras	Latin_America_and_Caribbean	Latin_America	8.424534798	0.821870148	67.19876862	0.870603263	0.086969115	0.801131904	2.464295387
Latvia	Central_and_Eastern_Europe	Europe	10.17531967	0.918288589	66.8074646	0.671237648	-0.186888844	0.795580089	2.121283054
Ecuador	Latin_America_and_Caribbean	Latin_America	9.246058464	0.836418986	68.50003815	0.859828949	-0.127014965	0.801215112	2.254933834
Portugal	Western_Europe	Europe	10.26374245	0.886590719	72.40202332	0.888747811	-0.220714301	0.892629504	1.752558708
Jamaica	Latin_America_and_Caribbean	Latin_America	9.006250381	0.915701866	67.09999847	0.858068526	-0.125106767	0.888890028	2.214436531
South_Korea	East_Asia	Asia	10.51056671	0.799387157	73.6027298	0.612965107	-0.043404032	0.789067447	1.946757078
Japan	East_Asia	Asia	10.57968903	0.883545935	75.00096893	0.809961379	-0.246910349	0.654558063	1.486200333
Peru	Latin_America_and_Caribbean	Latin_America	9.456313133	0.831075251	68.10023499	0.824766099	-0.16238822	0.893714964	2.213499546
Serbia	Central_and_Eastern_Europe	Europe	9.680980682	0.881475747	68.21020508	0.726495862	-0.073676221	0.843509018	2.029040098
Bolivia	Latin_America_and_Caribbean	Latin_America	8.851115227	0.803108692	63.6004715	0.875873327	-0.09168113	0.822606206	2.425928593
Pakistan	South_Asia	Asia	8.482727051	0.689062297	58.25313568	0.734833717	0.04489987	0.745705426	2.976876736
Paraguay	Latin_America_and_Caribbean	Latin_America	9.389982224	0.898727894	65.63993835	0.885923445	0.007997713	0.834788501	1.83412528
Dominican_Republic	Latin_America_and_Caribbean	Latin_America	9.664880753	0.882085383	65.80748749	0.866202772	-0.131263286	0.755999923	1.844246864
Bosnia_and_Herzegovina	Central_and_Eastern_Europe	Europe	9.455817223	0.829204142	67.80813599	0.651352704	0.098274559	0.933769107	2.16724205
Moldova	Commonwealth_of_Independent_States	Commonwealth	8.776714325	0.843313575	65.01301575	0.721609175	-0.037741039	0.913314283	2.370968342
Tajikistan	Commonwealth_of_Independent_States	Commonwealth	8.024810791	0.835297108	64.10459137	0.831383407	-0.025088511	0.592076063	2.25650835
Montenegro	Central_and_Eastern_Europe	Europe	9.751860619	0.855314612	68.50534821	0.649565637	-0.075600356	0.783121586	1.880565882
